Date,Day,Start,End,Duration_min,Room,Class,Instructor
2026-07-20,Monday,07:30,08:30,60,Studio 1,STÄRK,Cecilie
2026-07-20,Monday,08:45,10:00,75,Studio 1,Yoga FLOW,Emily
2026-07-20,Monday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Emily
2026-07-20,Monday,16:15,17:15,60,Studio 1,Beväg - Strength & Movement Class,Sebastian
2026-07-20,Monday,17:00,18:15,75,Studio 1,Yoga FLOW,Sisse
2026-07-20,Monday,18:30,20:00,90,Studio 1,Yoga GROW,Soham
2026-07-21,Tuesday,09:00,10:15,75,Studio 1,Yoga FLOW,Cecilie
2026-07-21,Tuesday,12:05,12:40,35,Studio 1,Noon Stärk (35 min),Cecilie
2026-07-21,Tuesday,16:30,17:45,75,Studio 1,Shake The Dust,Janni
2026-07-21,Tuesday,18:00,19:15,75,Studio 1,Contact Impro,Sebastian
2026-07-21,Tuesday,18:15,19:30,75,Studio 2,Yoga SLOW,Janni
2026-07-21,Tuesday,20:00,21:00,60,Sauna,Saunagus: CALM,Nicola
2026-07-22,Wednesday,07:30,08:45,75,Studio 1,Yoga FLOW,Cecilie
2026-07-22,Wednesday,09:00,10:00,60,Studio 1,STÄRK,Cecilie
2026-07-22,Wednesday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Finja
2026-07-22,Wednesday,16:45,17:45,60,Studio 2,Handstand,Eva
2026-07-22,Wednesday,17:30,18:45,75,Studio 1,Yoga GROW,Sisse
2026-07-23,Thursday,08:30,09:45,75,Studio 1,Yoga FLOW,Janni
2026-07-23,Thursday,12:05,12:40,35,Studio 1,Noon Stärk (35 min),Eva
2026-07-23,Thursday,17:00,18:15,75,Studio 1,Yoga GROW,Nicola
2026-07-23,Thursday,18:45,19:45,60,Sauna,Saunagus: VIBRANT,Kalle
2026-07-24,Friday,08:15,09:30,75,Thoravej 29,Outdoor Yoga & Breakfast at Thoras,Soham
2026-07-24,Friday,10:00,11:30,90,Studio 1,Yoga SLOW,Soham
2026-07-24,Friday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Nicola
2026-07-24,Friday,16:00,17:00,60,Studio 1,STÄRK,Eva
2026-07-24,Friday,17:15,18:30,75,Studio 1,Yoga FLOW,Cecilie
2026-07-24,Friday,18:30,19:30,60,Sauna,Saunagus #byMembers,Blanka
2026-07-25,Saturday,09:00,10:15,75,Studio 1,Yoga FLOW,Janni
2026-07-25,Saturday,10:30,11:45,75,Studio 1,Beväg - Strength & Movement Class,Eva
2026-07-25,Saturday,12:00,13:00,60,Sauna,Saunagus #byMembers,Tanya
2026-07-25,Saturday,14:00,15:15,75,Studio 1,Shake The Dust,Sophie
2026-07-26,Sunday,10:00,11:15,75,Studio 1,Yoga FLOW,Soham
2026-07-26,Sunday,11:30,12:45,75,Studio 1,Yoga SLOW,Soham
2026-07-26,Sunday,16:00,17:30,90,Studio 1,Bodywork,Mads
2026-07-26,Sunday,16:30,17:45,75,Studio 2,Yoga GROW #byGraduates,Kalle
2026-07-26,Sunday,18:00,19:00,60,Sauna,Saunagus: CALM,Mads
