Date,Day,Start,End,Duration_min,Room,Class,Instructor
2026-07-27,Monday,07:30,08:30,60,Studio 1,STÄRK,Oliver
2026-07-27,Monday,08:45,10:00,75,Studio 1,Yoga FLOW,Oliver
2026-07-27,Monday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Oliver
2026-07-27,Monday,16:15,17:15,60,Studio 1,Beväg - Strength & Movement Class,Eva
2026-07-27,Monday,17:00,18:15,75,Thoravej 29,Yoga FLOW Outdoors - At Thoras Have,Janni
2026-07-27,Monday,18:30,20:00,90,Studio 1,Yoga GROW,Soham
2026-07-28,Tuesday,08:00,09:00,60,Studio 1,Dans FREE,Louise
2026-07-28,Tuesday,09:00,10:15,75,Studio 2,Yoga FLOW,Oliver
2026-07-28,Tuesday,12:05,12:40,35,Studio 1,Noon Stärk (35 min),Oliver
2026-07-28,Tuesday,16:30,17:45,75,Studio 1,Shake The Dust,Janni
2026-07-28,Tuesday,18:15,19:30,75,Studio 1,Yoga SLOW,Janni
2026-07-28,Tuesday,20:00,21:00,60,Sauna,Saunagus: CALM,Nicola
2026-07-29,Wednesday,07:30,08:45,75,Studio 1,Yoga FLOW,Thit
2026-07-29,Wednesday,09:00,10:00,60,Studio 1,STÄRK,Eva
2026-07-29,Wednesday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Thit
2026-07-29,Wednesday,16:45,17:45,60,Studio 2,Handstand,Eva
2026-07-29,Wednesday,17:00,18:15,75,Studio 1,Dans FREE,Louise
2026-07-30,Thursday,08:30,09:45,75,Studio 1,Yoga FLOW,Janni
2026-07-30,Thursday,09:00,10:15,75,Studio 2,Yoga FLOW #byGraduates,Dmitrijs
2026-07-30,Thursday,12:05,12:40,35,Studio 1,Noon Stärk (35 min),Eva
2026-07-30,Thursday,17:00,18:15,75,Studio 1,Yoga GROW,Nicola
2026-07-30,Thursday,18:30,20:00,90,Studio 2,Bodywork,Mads
2026-07-30,Thursday,20:30,21:45,75,Sauna,Saunagus: VIBRANT,Mads
2026-07-31,Friday,08:15,09:30,75,Studio 1,Yoga GROW,Thit
2026-07-31,Friday,10:00,11:30,90,Studio 1,Yoga SLOW,Thit
2026-07-31,Friday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Nicola
2026-07-31,Friday,16:00,17:00,60,Studio 1,STÄRK,Eva
2026-07-31,Friday,17:15,18:30,75,Studio 1,Yoga FLOW,Louise
2026-07-31,Friday,18:30,19:30,60,Sauna,Saunagus #byMembers,Dina
2026-08-01,Saturday,09:00,10:15,75,Studio 1,Yoga FLOW,Oliver
2026-08-01,Saturday,10:30,11:45,75,Studio 1,Beväg - Strength & Movement Class,Oliver
2026-08-01,Saturday,12:00,13:00,60,Sauna,Saunagus #byMembers,William
2026-08-01,Saturday,14:00,15:15,75,Studio 1,Shake The Dust,Nicola
2026-08-02,Sunday,10:00,11:15,75,Studio 1,Yoga FLOW,Oliver
2026-08-02,Sunday,11:30,12:45,75,Studio 1,Yoga SLOW,Oliver
2026-08-02,Sunday,16:00,17:30,90,Studio 1,Bodywork,Mads
2026-08-02,Sunday,16:30,17:45,75,Studio 2,Yoga FLOW #byGraduates,Dmitrijs
2026-08-02,Sunday,18:00,19:00,60,Sauna,Saunagus: CALM,Mads
